date,campaign_name,landing_page_views,initiate_checkout
2026-04-28,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,159,
2026-04-28,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,153,
2026-04-28,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,127,21
2026-04-28,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,295,25
2026-04-28,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,77,
2026-04-28,ASUC-(HISTO)-UK-(UK)-PERF-RTG,136,
2026-04-28,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,33,
2026-04-28,ASUC-(HISTO)-US-(US)-PERF-RTG,96,1
2026-04-28,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,10,
2026-04-28,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,16,
2026-04-28,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,40,
2026-04-28,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,37,
2026-04-28,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,85,
2026-04-28,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,41,
2026-04-28,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,27,
2026-04-28,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,39,
2026-04-28,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,317,
2026-04-28,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,232,
2026-04-28,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,45,
2026-04-28,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,45,
2026-04-28,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,212,
2026-04-28,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,139,
2026-04-28,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,5,
2026-04-28,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,11,
2026-04-28,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,6,
2026-04-28,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,14,
2026-04-28,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,11,
2026-04-28,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,20,
2026-04-28,ASUC-(NEW)-PERF-RTG-WARM-ROW,139,
2026-04-28,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,40,
2026-04-28,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,53,
2026-04-28,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,46,
2026-04-28,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,21,
2026-04-28,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,8,
